player_name,The_Pearson_coefficient
"Kyrie Irving",0.184
"Kyrylo Fesenko",0.513
"KZ Okpala",-0.407
"Lamar Odom",0.06
"Lamar Stevens",0.81
"LaMarcus Aldridge",-0.222
"LaMelo Ball",0.204
"Lamond Murray",-0.379
"Lance Stephenson",-0.12
"Lance Thomas",-0.207
"Landry Fields",0.079
"Landry Shamet",-0.748
"Langston Galloway",0.51
"LaPhonso Ellis",0.532
"Laron Profit",0.767
"Larry Hughes",0.621
"Larry Johnson",0.176
"Larry Nance Jr.",-0.063
"Larry Robinson",-0.196
"Larry Sanders",-0.775
"Latrell Sprewell",0.303
"Lauri Markkanen",0.223
"Lavor Postell",-0.253
"Lavoy Allen",-0.208
"Lawrence Funderburke",0.483
"Lazar Hayward",0.89
"Leandro Barbosa",-0.05
"LeBron James",0.199
"Lee Mayberry",-0.203
"Lee Nailon",-0.776
"Leon Powe",0.367
"Lester Hudson",-0.175
"Linas Kleiza",-0.688
"Lindsey Hunter",0.421
"Linton Johnson",0.825
"Litterial Green",-0.945
"Lonnie Walker IV",0.07
"Lonny Baxter",-0.672
"Lonzo Ball",0.443
"Loren Woods",0.447
"Lorenzen Wright",0.562
"Lorenzo Brown",-0.763
"Lorenzo Williams",-1
"Lou Amundson",-0.133
"Lou Williams",0.257
"Louis King",0.665
"Loy Vaught",0.644
"Luc Longley",0.81
"Luc Mbah a Moute",-0.217
"Lucas Nogueira",-0.983
"Lucious Harris",0.505
"Luguentz Dort",0.713
"Luis Scola",-0.491
"Luka Doncic",0.807
"Luka Samanic",0.992
"Luke Babbitt",-0.872
"Luke Jackson",-0.031
"Luke Kennard",-0.764
"Luke Kornet",-0.446
"Luke Ridnour",0.486
"Luke Walton",0.38
"Luol Deng",0.137
"Luther Head",0.287
"Maceo Baston",0.23
"Maciej Lampe",-0.631
"Mahmoud Abdul-Rauf",0.103
"Malachi Flynn",-0.362
"Malachi Richardson",0.805
"Malcolm Brogdon",-0.364
"Malcolm Lee",-0.977
"Malcolm Miller",0.653
"Malcolm Thomas",0.403
"Malik Allen",0.687
"Malik Beasley",0.278
"Malik Monk",-0.446
"Malik Rose",0.351
"Malik Sealy",0.097
"Mamadi Diakite",0.524
"Mamadou N'diaye",-0.521
"Manny Harris",-0.979
"Manu Ginobili",0.503
"Marc Gasol",-0.614
"Marc Jackson",0.168
"Marcin Gortat",-0.368
"Marco Belinelli",0.19
"Marcus Banks",0.089
"Marcus Camby",0.232
"Marcus Fizer",-0.29
"Marcus Haislip",-0.046
"Marcus Morris",-0.817
"Marcus Morris Sr.",-0.123
"Marcus Smart",-0.34
"Marcus Thornton",0.623
"Marcus Williams",0.398
